Source,Year,Data,Unit,Value
U.S. EPA,1990,U.S. LDV GHG emissions,Mt CO2 Eq.,924.5
U.S. EPA,1991,U.S. LDV GHG emissions,Mt CO2 Eq.,909.7
U.S. EPA,1992,U.S. LDV GHG emissions,Mt CO2 Eq.,941
U.S. EPA,1993,U.S. LDV GHG emissions,Mt CO2 Eq.,957.7
U.S. EPA,1994,U.S. LDV GHG emissions,Mt CO2 Eq.,970.8
U.S. EPA,1995,U.S. LDV GHG emissions,Mt CO2 Eq.,984.7
U.S. EPA,1996,U.S. LDV GHG emissions,Mt CO2 Eq.,1008.5
U.S. EPA,1997,U.S. LDV GHG emissions,Mt CO2 Eq.,1021.5
U.S. EPA,1998,U.S. LDV GHG emissions,Mt CO2 Eq.,1052
U.S. EPA,1999,U.S. LDV GHG emissions,Mt CO2 Eq.,1085.5
U.S. EPA,2000,U.S. LDV GHG emissions,Mt CO2 Eq.,1082.5
U.S. EPA,2001,U.S. LDV GHG emissions,Mt CO2 Eq.,1092.6
U.S. EPA,2002,U.S. LDV GHG emissions,Mt CO2 Eq.,1118.7
U.S. EPA,2003,U.S. LDV GHG emissions,Mt CO2 Eq.,1133.2
U.S. EPA,2004,U.S. LDV GHG emissions,Mt CO2 Eq.,1151.4
U.S. EPA,2005,U.S. LDV GHG emissions,Mt CO2 Eq.,1134.3
U.S. EPA,2006,U.S. LDV GHG emissions,Mt CO2 Eq.,1123
U.S. EPA,2007,U.S. LDV GHG emissions,Mt CO2 Eq.,1089.9
U.S. EPA,2008,U.S. LDV GHG emissions,Mt CO2 Eq.,1031.3
U.S. EPA,2009,U.S. LDV GHG emissions,Mt CO2 Eq.,1029.6
U.S. EPA,2010,U.S. LDV GHG emissions,Mt CO2 Eq.,1022.1
U.S. EPA,2011,U.S. LDV GHG emissions,Mt CO2 Eq.,1003.7
U.S. EPA,2012,U.S. LDV GHG emissions,Mt CO2 Eq.,999.8
U.S. EPA,2013,U.S. LDV GHG emissions,Mt CO2 Eq.,1000.6
U.S. EPA,2014,U.S. LDV GHG emissions,Mt CO2 Eq.,1040.5
U.S. EPA,2015,U.S. LDV GHG emissions,Mt CO2 Eq.,1033.8
U.S. EPA,2016,U.S. LDV GHG emissions,Mt CO2 Eq.,1058.2
U.S. EPA,2017,U.S. LDV GHG emissions,Mt CO2 Eq.,1054.4
