"Year","Value","Size","Technology","Unit","Model"
2011,39.0945328031809,"Car","BEV100","kWh","Sales weighted"
2011,16,"Car","PHEV40","kWh","Sales weighted"
2012,37.444616261089,"Car","BEV100","kWh","Sales weighted"
2012,100,"Car","BEV300","kWh","Sales weighted"
2012,8.8,"Car","PHEV20","kWh","Sales weighted"
2012,15.2281168956841,"Car","PHEV40","kWh","Sales weighted"
2012,27,"Light truck","BEV100","kWh","Sales weighted"
2013,36.9712340640688,"Car","BEV100","kWh","Sales weighted"
2013,100,"Car","BEV300","kWh","Sales weighted"
2013,8.73372285827083,"Car","PHEV20","kWh","Sales weighted"
2013,12.9393115593099,"Car","PHEV40","kWh","Sales weighted"
2013,27,"Light truck","BEV100","kWh","Sales weighted"
2014,37.3117628952113,"Car","BEV100","kWh","Sales weighted"
2014,100,"Car","BEV300","kWh","Sales weighted"
2014,8.97722321251733,"Car","PHEV20","kWh","Sales weighted"
2014,11.8497630804529,"Car","PHEV40","kWh","Sales weighted"
2014,27,"Light truck","BEV100","kWh","Sales weighted"
2014,14,"Light truck","PHEV20","kWh","Sales weighted"
2015,36.8876260701959,"Car","BEV100","kWh","Sales weighted"
2015,100,"Car","BEV300","kWh","Sales weighted"
2015,8.63953226260919,"Car","PHEV20","kWh","Sales weighted"
2015,11.7184074885953,"Car","PHEV40","kWh","Sales weighted"
2015,27,"Light truck","BEV100","kWh","Sales weighted"
2015,100,"Light truck","BEV300","kWh","Sales weighted"
2015,17.740978744439,"Light truck","PHEV20","kWh","Sales weighted"
2016,37.0787191901408,"Car","BEV100","kWh","Sales weighted"
2016,99.2475389063972,"Car","BEV300","kWh","Sales weighted"
2016,9.31904024767802,"Car","PHEV20","kWh","Sales weighted"
2016,11.8071883146757,"Car","PHEV40","kWh","Sales weighted"
2016,27,"Light truck","BEV100","kWh","Sales weighted"
2016,100,"Light truck","BEV300","kWh","Sales weighted"
2016,19.303048485435,"Light truck","PHEV20","kWh","Sales weighted"
2017,38.1858639917959,"Car","BEV100","kWh","Sales weighted"
2017,81.2594294800939,"Car","BEV300","kWh","Sales weighted"
2017,11.0656588252273,"Car","PHEV20","kWh","Sales weighted"
2017,10.8307700709995,"Car","PHEV40","kWh","Sales weighted"
2017,27,"Light truck","BEV100","kWh","Sales weighted"
2017,100,"Light truck","BEV300","kWh","Sales weighted"
2017,18.4449190424158,"Light truck","PHEV20","kWh","Sales weighted"
2017,16,"Light truck","PHEV40","kWh","Sales weighted"
2018,38.1389025958231,"Car","BEV100","kWh","Sales weighted"
2018,81.2226417355867,"Car","BEV300","kWh","Sales weighted"
2018,11.5354934147738,"Car","PHEV20","kWh","Sales weighted"
2018,9.97363861848911,"Car","PHEV40","kWh","Sales weighted"
2018,27,"Light truck","BEV100","kWh","Sales weighted"
2018,99.8516589287736,"Light truck","BEV300","kWh","Sales weighted"
2018,17.470157670618,"Light truck","PHEV20","kWh","Sales weighted"
2018,14.2392390011891,"Light truck","PHEV40","kWh","Sales weighted"
2019,37.8437296841767,"Car","BEV100","kWh","Sales weighted"
2019,80.0859630175266,"Car","BEV300","kWh","Sales weighted"
2019,11.905602219889,"Car","PHEV20","kWh","Sales weighted"
2019,9.04995937632994,"Car","PHEV40","kWh","Sales weighted"
2019,27,"Light truck","BEV100","kWh","Sales weighted"
2019,96.3216517155922,"Light truck","BEV300","kWh","Sales weighted"
2019,10.4292498424039,"Light truck","PHEV20","kWh","Sales weighted"
2019,14.6827610453533,"Light truck","PHEV40","kWh","Sales weighted"
2020,37.8437296841767,"Car","BEV100","kWh","def"
2020,80.0859630175266,"Car","BEV300","kWh","def"
2020,11.905602219889,"Car","PHEV20","kWh","def"
2020,9.04995937632994,"Car","PHEV40","kWh","def"
2020,27,"Light truck","BEV100","kWh","def"
2020,96.3216517155922,"Light truck","BEV300","kWh","def"
2020,10.4292498424039,"Light truck","PHEV20","kWh","def"
2020,14.6827610453533,"Light truck","PHEV40","kWh","def"
2020,35.8,"Car","BEV100","kWh","low"
2020,60,"Car","BEV300","kWh","low"
2020,8.8,"Car","PHEV20","kWh","low"
2020,8.8,"Car","PHEV40","kWh","low"
2020,27,"Light truck","BEV100","kWh","low"
2020,64,"Light truck","BEV300","kWh","low"
2020,10,"Light truck","PHEV20","kWh","low"
2020,12,"Light truck","PHEV40","kWh","low"
2020,40,"Car","BEV100","kWh","high"
2020,100,"Car","BEV300","kWh","high"
2020,13,"Car","PHEV20","kWh","high"
2020,16,"Car","PHEV40","kWh","high"
2020,27,"Light truck","BEV100","kWh","high"
2020,100,"Light truck","BEV300","kWh","high"
2020,14,"Light truck","PHEV20","kWh","high"
2020,16,"Light truck","PHEV40","kWh","high"
