Year,PHEV,BEV,FCV,HEV
2020,0.012,0.0192,0.0005,0.0737
2021,0.018,0.0349,0.0007,0.0924
2022,0.0244,0.0469,0.001,0.1124
2023,0.0343,0.0551,0.0011,0.1368
2024,0.0432,0.0647,0.0012,0.1696
2025,0.0512,0.0732,0.0013,0.1868
2026,0.057,0.0835,0.0015,0.2078
2027,0.0707,0.0926,0.0018,0.2256
2028,0.0814,0.101,0.0027,0.2366
2029,0.0912,0.1135,0.0027,0.241
2030,0.1019,0.1282,0.0029,0.2526
2031,0.1102,0.1432,0.0042,0.2698
2032,0.1178,0.1613,0.0055,0.2846
2033,0.1245,0.1835,0.0067,0.2959
2034,0.1302,0.2099,0.0078,0.3031
2035,0.1351,0.2405,0.0088,0.3051
2036,0.1347,0.2691,0.0097,0.3057
2037,0.1339,0.3016,0.0107,0.305
2038,0.1328,0.3372,0.0117,0.3032
2039,0.1313,0.3769,0.0127,0.2997
2040,0.1297,0.4192,0.0137,0.2949
2041,0.1281,0.4606,0.0148,0.2901
2042,0.1266,0.5023,0.0158,0.2853
2043,0.125,0.544,0.0168,0.2805
2044,0.1234,0.583,0.0178,0.2757
2045,0.1218,0.5884,0.0189,0.2709
2046,0.1203,0.5937,0.0199,0.2661
2047,0.1187,0.5991,0.0209,0.2613
2048,0.1171,0.6044,0.0219,0.2565
2049,0.1155,0.6098,0.023,0.2517
2050,0.114,0.6151,0.024,0.247
